Nationality,F-1 Validity Period,USA,USA Reapply,USA Reciprocity Fee,USA Reapply Reciprocity,South Korea,India,Germany,Argentina,UK,Taiwan,Approximate_Total,Emojis
Cameroon,6,510,160,60,60,60,91.53,88.86,177.64,124.11,50,1382.14,🇨🇲
Thailand,12,510,160,40,40,0,91.53,88.86,177.64,124.11,50,1282.14,🇹🇭
Yemen,12,510,160,30,30,60,91.53,88.86,177.64,124.11,50,1322.14,🇾🇪
Seychelles,12,510,160,21,21,60,10.73,88.86,177.64,124.11,50,1223.34,🇸🇨
Central African Republic,12,510,160,20,20,60,91.53,88.86,177.64,124.11,50,1302.14,🇨🇫
Samoa,36,510,160,18,18,60,91.53,88.86,177.64,124.11,50,1298.14,🇼🇸
Malawi,60,510,0,15,0,60,91.53,88.86,177.64,124.11,50,1117.14,🇲🇼
Sierra Leone,36,510,160,15,15,60,91.53,88.86,177.64,124.11,50,1292.14,🇸🇱
Angola,24,510,160,10,10,60,91.53,88.86,177.64,124.11,50,1282.14,🇦🇴
Afghanistan,12,510,160,0,0,60,4.284,88.86,177.64,124.11,50,1174.894,🇦🇫
Albania,36,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇦🇱
Algeria,24,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇩🇿
Andorra,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇦🇩
Antigua and Barbuda,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇦🇬
Armenia,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇦🇲
Austria,60,510,0,0,0,50,91.53,0,177.64,124.11,50,1003.28,🇦🇹
Azerbaijan,12,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇦🇿
Bahamas,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇧🇸
Bahrain,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇧🇭
Bangladesh,60,510,0,0,0,60,4.284,88.86,177.64,124.11,50,1014.894,🇧🇩
Barbados,36,510,160,0,0,0,91.53,88.86,177.64,124.11,50,1202.14,🇧🇧
Belarus,12,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇧🇾
Belize,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇧🇿
Bhutan,24,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇧🇹
Bolivia,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇧🇴
Bosnia and Herzegovina,24,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇧🇦
Botswana,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇧🇼
Brazil,48,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇧🇷
Brunei,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇧🇳
Bulgaria,60,510,0,0,0,60,91.53,0,177.64,124.11,50,1013.28,🇧🇬
Burkina Faso,12,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇧🇫
Burundi,12,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇧🇮
Cabo Verde,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇨🇻
Cambodia,3,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇰🇭
Canada,60,0,0,0,0,60,91.53,88.86,177.64,124.11,50,592.14,🇨🇦
Chad,3,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇹🇩
Chile,12,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇨🇱
China,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇨🇳
Colombia,60,510,0,0,0,0,91.53,88.86,177.64,124.11,50,1042.14,🇨🇴
Congo (Congo-Brazzaville),,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇨🇬
Côte d'Ivoire,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇨🇮
Cuba,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇨🇺
Czechia (Czech Republic),60,510,0,0,0,60,91.53,0,177.64,124.11,50,1013.28,🇨🇿
Democratic Republic of the Congo,1,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇨🇩
Denmark,49,510,0,0,0,60,91.53,0,177.64,124.11,50,1013.28,🇩🇰
Dominica,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇩🇲
Dominican Republic,24,510,160,0,0,0,91.53,88.86,177.64,124.11,50,1202.14,🇩🇴
Ecuador,29,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇪🇨
Egypt,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇪🇬
El Salvador,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇸🇻
Equatorial Guinea,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇬🇶
Eritrea,12,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇪🇷
Estonia,60,510,0,0,0,60,91.53,0,177.64,124.11,50,1013.28,🇪🇪
Ethiopia,0,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇪🇹
Fiji,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇫🇯
France,20,510,160,0,0,60,91.53,0,177.64,124.11,50,1173.28,🇫🇷
Gabon,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇬🇦
Gambia,48,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇬🇲
Georgia,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇬🇪
Germany,60,510,0,0,0,0,91.53,0,177.64,124.11,50,953.28,🇩🇪
Ghana,48,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇬🇭
Grenada,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇬🇩
Guatemala,19,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇬🇹
Guinea,36,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇬🇳
Guinea-Bissau,15,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇬🇼
Guyana,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇬🇾
Haiti,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇭🇹
Hong Kong,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇭🇰
Hungary,60,510,0,0,0,60,91.53,0,177.64,124.11,50,1013.28,🇭🇺
India,60,510,0,0,0,60,0,88.86,177.64,124.11,50,1010.61,🇮🇳
Iran,24,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇮🇷
Iraq,12,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇮🇶
Israel,,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇮🇱
Italy,16,510,160,0,0,0,91.53,0,177.64,124.11,50,1113.28,🇮🇹
Jamaica,60,510,0,0,0,60,4.284,88.86,177.64,124.11,50,1014.894,🇯🇲
Japan,60,510,0,0,0,0,21.38,88.86,177.64,124.11,50,971.99,🇯🇵
Kazakhstan,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇰🇿
Kiribati,36,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇰🇮
Kosovo,24,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇽🇰
Kuwait,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇰🇼
Kyrgyzstan,12,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇰🇬
Laos,,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇱🇦
Latvia,60,510,0,0,0,60,91.53,0,177.64,124.11,50,1013.28,🇱🇻
Lesotho,56,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇱🇸
Liberia,12,510,160,0,0,0,91.53,88.86,177.64,124.11,50,1202.14,🇱🇷
Libya,12,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇱🇾
Lithuania,24,510,160,0,0,60,91.53,0,177.64,124.11,50,1173.28,🇱🇹
Luxembourg,60,510,0,0,0,60,91.53,0,177.64,124.11,50,1013.28,🇱🇺
Madagascar,3,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇲🇬
Malaysia,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇲🇾
Mali,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇲🇱
Malta,60,510,0,0,0,60,91.53,0,177.64,124.11,50,1013.28,🇲🇹
Marshall Islands,12,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇲🇭
Mauritius,60,510,0,0,0,60,4.284,88.86,177.64,124.11,50,1014.894,🇲🇺
Mexico,48,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇲🇽
Micronesia,3,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇫🇲
Moldova,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇲🇩
Monaco,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇲🇨
Mongolia,36,510,160,0,0,60,4.284,88.86,177.64,124.11,50,1174.894,🇲🇳
Montenegro,24,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇲🇪
Morocco,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇲🇦
Mozambique,12,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇲🇿
Myanmar (formerly Burma),,510,0,0,0,60,4.284,88.86,177.64,124.11,50,1014.894,🇲🇲
Nauru,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇳🇷
Nepal,60,510,0,0,0,60,4.284,88.86,177.64,124.11,50,1014.894,🇳🇵
Netherlands,50,510,0,0,0,60,91.53,0,177.64,124.11,50,1013.28,🇳🇱
New Zealand,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇳🇿
Nicaragua,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇳🇮
North Macedonia,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇲🇰
Oman,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇴🇲
Pakistan,60,510,0,0,0,60,15.01,88.86,177.64,124.11,50,1025.62,🇵🇰
Palau,3,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇵🇼
Papua New Guinea,12,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇵🇬
Peru,60,510,0,0,0,0,91.53,88.86,177.64,124.11,50,1042.14,🇵🇪
Philippines,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇵🇭
Poland,60,510,0,0,0,60,91.53,0,177.64,124.11,50,1013.28,🇵🇱
Portugal,28,510,160,0,0,60,91.53,0,177.64,124.11,50,1173.28,🇵🇹
Qatar,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇶🇦
Romania,60,510,0,0,0,60,91.53,0,177.64,124.11,50,1013.28,🇷🇴
Russia,,510,0,0,0,80,52.56,88.86,177.64,124.11,50,1083.17,🇷🇺
Rwanda,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇷🇼
Saint Kitts and Nevis,25,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇰🇳
Saint Lucia,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇱🇨
Saint Vincent and the Grenadines,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇻🇨
San Marino,16,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇸🇲
Sao Tome and Principe,6,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇸🇹
Saudi Arabia,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇸🇦
Senegal,36,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇸🇳
Serbia,15,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇷🇸
Singapore,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇸🇬
Slovakia,60,510,0,0,0,60,91.53,0,177.64,124.11,50,1013.28,🇸🇰
Slovenia,24,510,160,0,0,60,91.53,0,177.64,124.11,50,1173.28,🇸🇮
Solomon Islands,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇸🇧
Somalia,3,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇸🇴
South Africa,36,510,160,0,0,60,4.284,88.86,177.64,124.11,50,1174.894,🇿🇦
South Korea,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇰🇷
South Sudan,3,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇸🇸
Spain,60,510,0,0,0,0,91.53,0,177.64,124.11,50,953.28,🇪🇸
Sri Lanka,60,510,0,0,0,60,0,88.86,177.64,124.11,50,1010.61,🇱🇰
Sudan,6,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇸🇩
Suriname,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇸🇷
Syria,3,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇸🇾
Taiwan,60,510,0,0,0,0,91.53,88.86,177.64,124.11,0,992.14,🇹🇼
Tajikistan,12,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇹🇯
Timor-Leste,3,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇹🇱
Tonga,18,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇹🇴
Trinidad and Tobago,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇹🇹
Tunisia,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇹🇳
Turkey,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇹🇷
Uganda,12,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇺🇬
Ukraine,36,510,160,0,0,0,96.41,88.86,177.64,124.11,50,1207.02,🇺🇦
United Kingdom,60,510,0,0,0,200,236.72,88.86,177.64,0,50,1263.22,🇬🇧
United States of America,,0,0,0,0,45,111.02,88.86,177.64,124.11,50,596.63,🇺🇸
Uruguay,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇺🇾
Uzbekistan,12,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇺🇿
Vanuatu,12,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇻🇺
Venezuela,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇻🇪
Vietnam,12,510,160,0,0,50,91.53,88.86,177.64,124.11,50,1252.14,🇻🇳
Zambia,60,510,0,0,0,60,91.53,88.86,177.64,124.11,50,1102.14,🇿🇲
Zimbabwe,24,510,160,0,0,60,91.53,88.86,177.64,124.11,50,1262.14,🇿🇼
