Timestamp,What Minerva rotation cities have you lived in?,What Minerva residence halls have you lived in?,Lived in Seoul?,Lived in 16 Turk?,Lived in 16 Turk AND 1412,What is your gender identity?,What is your racial/ethnic identity? Check as many boxes as apply.,"Of the Minerva residence halls you have lived in, which do you believe was the MOST SAFE? If you have only lived in one residence hall, select it here if you mostly felt safe while you were there. Otherwise, select ""NA"".",Please explain why you selected this residence hall as the most safe.,"Of the Minerva residence halls you have lived in, which do you believe was the LEAST SAFE? If you have only lived in one residence hall, select it here if you mostly did not feel safe while you were there. Otherwise, select ""NA"".",Please explain why you selected this residence hall as the least safe.,Have you ever been the victim of a crime near a Minerva residence hall? ,Crime_binary,"If you answered yes to the above question, what residence hall did the crime occur near? Select ""NA"" if you answered no to the above question.",Incident_near_turk,crime_yes_near_turk,"If you answered yes to the above question, please describe what happened in as much detail as you are comfortable with, including a description of the location or an approximate address. ",Type of crime,Is there anything else you want the Minerva community to know about safety around residence halls?,"Would you be interested in speaking to a Quest reporter (Emma or Jasen) about this subject? If you would like to speak to a specific person, please specify in the ""other"" section. As always, you may choose to be interviewed anonymously.","Do you consent to having your anonymized (if you provide your name and contact information above, it will be removed) survey response included in a public, open-access repository of data about Minerva and Minerva students? "
2/19/2021 10:10:12,"San Francisco, Seoul, Hyderabad, London","San Francisco: 851 California Street, San Francisco: 1412 Market Street, Seoul: Yongsan residence, Hyderabad: At Home Apartments, London Crawford Place apartments",1,0,0,Female,White,Seoul: Yongsan residence,"It was a wonderful community- I never saw anyone doing drugs, sleeping on the street, being aggressive, etc.. ",San Francisco: 1412 Market Street,There were people sleeping on the street outside the res. Seeing needles and drugs was common. Sometimes I would hear screaming outside. ,Yes,1,San Francisco: 1412 Market Street,0,1,"Two incidences. Once, I was studying in the SF library, and I was followed around the library and harassed by a man. He followed me from place to place (I tried moving several times, because I really did not want to leave– I had just as much of a right to be there as him), and he tried grabbing me once. I finally left after about an hour of this– I was very shaken, and I didn't return for several weeks. 

Another incidence occurred in the Peet's coffee down the street from 1412. My wallet was stolen from the inside pocket of my backpack while it was under my chair. ","Harassment, Theft","I am now living in 851, and it is honestly such a relief. I feel comfortable and safe walking home (besides the occasional witnessing of drug use), and I don't hear screaming or yelling at night. ",No,Yes
2/25/2021 21:45:39,"San Francisco, Seoul, Hyderabad, Berlin, Buenos Aires","San Francisco: 851 California Street, Seoul: Yongsan residence, Hyderabad: At Home Apartments, Berlin: Adalbertstrasse and Meliorstrasse apartments, Buenos Aires: Le Petit Suites hotel apartments",1,0,0,Female,Southeast Asian,Buenos Aires: Le Petit Suites hotel apartments,"We don't have to share kitchens and bathrooms, which makes me feel safe hygiene wise. 
The neighborhood is generally safe. 
There is reception/ security in the first floor. 
There is always light in and around the res hall after sunset. ",San Francisco: 851 California Street,"Shared kitchen and bathroom (1 single kitchen for 100 people - I am glad we made it, guys)
Questionable fire safety.
We had gas stoves, right? 
Nob Hill is already a better neighborhood, but I still feel scared going out alone after sunset & I have been followed home more than once. 
It takes some effort to open the front door with physical keys -> takes longer to escape from any threat/ follower. ",Yes,1,San Francisco: 851 California Street,0,1,I was followed home by a random guy while getting back from grocery shopping in China Town (I was walking up the hill from China Town's side). He walked close to me and kept shouting offensive words. He almost touched me while I stopped to try open the front door to get in. ,,,No,Yes
2/16/2021 13:18:32,"San Francisco, Seoul, Hyderabad, Berlin, Buenos Aires, London","San Francisco: 1412 Market Street, San Francisco: 16 Turk Street, Seoul: Yongsan residence, Hyderabad: At Home Apartments, Berlin: Adalbertstrasse and Meliorstrasse apartments, Buenos Aires: Le Petit Suites hotel apartments, London Crawford Place apartments",1,1,1,Male,Hispanic,London Crawford Place apartments,"It had several layers of safety. The neighborhood felt really safe, we had a front gate, and 2 doors with separate keys to get into the apartment.",San Francisco: 16 Turk Street,"I hear nearby shootings a few times a week. It just feels hostile walking out into the street. There is a paragraph on Wikipedia specifically about the crime in the block the Turk residence is on. Inside the building, it’s mostly ok.",No,0,NA,0,0,,,,Yes,Yes
2/16/2021 21:30:16,"San Francisco, Hyderabad","San Francisco: 851 California Street, San Francisco: 1412 Market Street, San Francisco: 16 Turk Street, Hyderabad: At Home Apartments",0,1,1,Male,South Asian,Hyderabad: At Home Apartments,"Good security, friendly neighborhood",San Francisco: 16 Turk Street,"Worst location for a Minerva residence hall I have ever been in, and I've lived in all three in SF - 1412, 851, and 16 Turk. Drug dealers walk on every corner and individuals inject themselves right outside the door. Screams and/or loud music can be heard through the night and my female friends were followed and catcalled anytime of the day. ",No,0,NA,0,0,,,"16 Turk is a terrible location, especially for newcomers who've come abroad for the first time in their lives. As a male upperclassman I've had to help colleagues in uncomfortable situations many times outside this res hall.",Yes,Yes
2/16/2021 18:25:18,"San Francisco, Berlin","San Francisco: 1412 Market Street, San Francisco: 16 Turk Street, Berlin: Adalbertstrasse and Meliorstrasse apartments",0,1,1,Male,White,Berlin: Adalbertstrasse and Meliorstrasse apartments,,San Francisco: 16 Turk Street,,No,0,NA,0,0,,,,No,Yes
2/17/2021 12:50:52,"San Francisco, Seoul, Hyderabad","San Francisco: 851 California Street, San Francisco: 1412 Market Street, San Francisco: 16 Turk Street, Seoul: Yongsan residence, Hyderabad: At Home Apartments",1,1,1,Male,Black,Hyderabad: At Home Apartments,,San Francisco: 851 California Street,"During COVID-19, shared bathrooms and kitchen make it hard to be socially distant. ",No,0,NA,0,0,,,,No,Yes
2/16/2021 13:11:49,"San Francisco, Seoul, Hyderabad, Berlin, Buenos Aires","San Francisco: 851 California Street, San Francisco: 16 Turk Street, Seoul: Yongsan residence, Hyderabad: At Home Apartments, Berlin: Adalbertstrasse and Meliorstrasse apartments, Buenos Aires: Le Petit Suites hotel apartments",1,1,0,Male,Southeast Asian,Seoul: Yongsan residence,"No homeless or sketch people around the neighborhood, transportation options and convenience store are very close by, building has a numpad lock.",San Francisco: 16 Turk Street,"Homeless people, not-mentally stable people, and people using drugs right outside the res.
Reports of sexual assault and harassment from many of my friends.",No,0,NA,0,0,,,"16 Turk is definitely not safe, especially for women and younger students, and I strongly believe none of the parents would approve their children living in this building and neighborhood if they truly knew what it was like.",Yes,Yes
2/17/2021 12:38:19,"San Francisco, Seoul, Hyderabad, Berlin, Buenos Aires, London","San Francisco: 851 California Street, San Francisco: 16 Turk Street, Seoul: Yongsan residence, Hyderabad: At Home Apartments, Berlin: Adalbertstrasse and Meliorstrasse apartments, Buenos Aires: Le Petit Suites hotel apartments, London Crawford Place apartments",1,1,0,Female,White,London Crawford Place apartments,"Privacy of common living spaces in the apartments, central location yet residential atmosphere ",Berlin: Adalbertstrasse and Meliorstrasse apartments,"Concerns over lack of security including items being stolen, having possibility of apartment being broken into",No,0,NA,0,0,,,"We must be careful not to stigmatize certain populations or areas due to community fears around safety. I have some thoughts about how we think about community safety, especially as this discussion is coming up due to the Turk st. Residence ",Yes,Yes
2/16/2021 13:44:58,"San Francisco, Seoul, Hyderabad, Berlin, Buenos Aires","San Francisco: 851 California Street, San Francisco: 16 Turk Street, Seoul: Yongsan residence, Hyderabad: At Home Apartments, Berlin: Adalbertstrasse and Meliorstrasse apartments, Buenos Aires: Le Petit Suites hotel apartments",1,1,0,Male,Hispanic,Seoul: Yongsan residence,"Literally nothing happened, the neighborhood was quiet, people were super nice, could go walking at 2am and not feel chased.",San Francisco: 16 Turk Street,"Drugs in the corner, ambulance every other hour, literal fights in front of our door, people chasing you when near the res",No,0,NA,0,0,,,"Turk isn't great for living. Went from feeling really depressed and not wanting to go out in Turk, to feeling very excited about SF and going for walks in 851.",No,Yes
2/16/2021 15:09:57,"San Francisco, Seoul, Berlin","San Francisco: 16 Turk Street, Seoul: Yongsan residence, Berlin: Adalbertstrasse and Meliorstrasse apartments",1,1,0,Female,White,Seoul: Yongsan residence,This is mainly due to the city itself— Seoul has felt much safer than both Berlin and SF.,San Francisco: 16 Turk Street,"Almost every time I would walk by myself (or with another girl) outside near 16 Turk, I would get cat called. Men have followed me down blocks as well. Luckily nothing worse happened, but I know other Minervans in my class had some scary experiences. ",No,0,NA,0,0,,,,No,Yes
2/16/2021 15:28:32,"San Francisco, Seoul, Hyderabad, Berlin, Buenos Aires","San Francisco: 851 California Street, San Francisco: 16 Turk Street, Seoul: Yongsan residence, Hyderabad: At Home Apartments, Berlin: Adalbertstrasse and Meliorstrasse apartments, Buenos Aires: Le Petit Suites hotel apartments",1,1,0,Male,Southeast Asian,Seoul: Yongsan residence,,San Francisco: 16 Turk Street,Shootings every week right beneath or a few blocks away. Gangs are nearby and it’s a completely unacceptable place to put students in. Please find another place that might be more expensive but will not potentially cost a student’s life.,No,0,NA,0,0,,,Area near 16 Turk is unsafe at night. There was one shooting even during the afternoon right on Mason/Turk,No,Yes
2/16/2021 20:57:52,"San Francisco, Seoul, London","San Francisco: 16 Turk Street, Seoul: Yongsan residence",1,1,0,Male,White,Other residence hall,,San Francisco: 16 Turk Street,,No,0,NA,0,0,,,,No,Yes
2/16/2021 21:09:15,San Francisco,San Francisco: 16 Turk Street,0,1,0,Male,White,NA,,San Francisco: 16 Turk Street,Neighborhood,No,0,NA,0,0,,,,No,Yes
2/16/2021 21:38:13,"San Francisco, Seoul, Berlin","San Francisco: 16 Turk Street, Seoul: Yongsan residence, Berlin: Adalbertstrasse and Meliorstrasse apartments",1,1,0,Female,Southeast Asian,Seoul: Yongsan residence,CCTV everywhere,San Francisco: 16 Turk Street,It's Tenderloin...,No,0,NA,0,0,,,,No,Yes
2/17/2021 13:23:22,"San Francisco, Seoul, Hyderabad, Berlin, Buenos Aires","San Francisco: 851 California Street, San Francisco: 16 Turk Street, Seoul: Yongsan residence, Hyderabad: At Home Apartments, Berlin: Adalbertstrasse and Meliorstrasse apartments, Buenos Aires: Le Petit Suites hotel apartments",1,1,0,Female,"Hispanic, Indigenous",Seoul: Yongsan residence,"Was very residential and Seoul felt very safe, specifically at night",Berlin: Adalbertstrasse and Meliorstrasse apartments,"Was very scary at night, random people walking around and being intimidating right near the entrance to the apartment. Lack of security made me very nervous and was somewhat quiet around so made me nervous even walking from one apartment to another. ",No,0,NA,0,0,,,,No,Yes
2/17/2021 17:34:37,San Francisco,San Francisco: 16 Turk Street,0,1,0,Female,Hispanic,NA,,San Francisco: 16 Turk Street,,No,0,NA,0,0,,,,No,Yes
2/17/2021 19:44:28,"San Francisco, Seoul, Hyderabad, Berlin, Buenos Aires, London","San Francisco: 851 California Street, San Francisco: 16 Turk Street, Seoul: Yongsan residence, Hyderabad: At Home Apartments, Berlin: Adalbertstrasse and Meliorstrasse apartments, Buenos Aires: Le Petit Suites hotel apartments, London Crawford Place apartments",1,1,0,Male,White,Seoul: Yongsan residence,,San Francisco: 16 Turk Street,"People screaming all the time, dealing drugs, peeing all over the place, gun shots...",No,0,NA,0,0,,,16 Turk IS A HORRIBLE PLACE TO LIVE,No,Yes
2/17/2021 19:49:39,"San Francisco, Seoul, Berlin, Buenos Aires, London","San Francisco: 851 California Street, San Francisco: 16 Turk Street, Seoul: Yongsan residence, Berlin: Adalbertstrasse and Meliorstrasse apartments, Buenos Aires: Le Petit Suites hotel apartments, London Crawford Place apartments",1,1,0,Male,South Asian,Seoul: Yongsan residence,,San Francisco: 16 Turk Street,,No,0,NA,0,0,,,,No,Yes
2/17/2021 20:43:24,"San Francisco, Seoul","San Francisco: 16 Turk Street, Seoul: Yongsan residence",1,1,0,Female,East Asian,Seoul: Yongsan residence,,San Francisco: 16 Turk Street,Tenderloin,No,0,NA,0,0,,,Insulted by the homeless near 16 Turk,No,Yes
2/18/2021 23:11:26,"San Francisco, London","San Francisco: 16 Turk Street, London Crawford Place apartments",0,1,0,Female,South Asian,London Crawford Place apartments,Mainly because the SF res hall (the other one I lived in) was not. London's location was much better and we were the only people in the building. Furthermore we had our own apartments so there was another barrier.,San Francisco: 16 Turk Street,"This is just the other one I lived in. The area wasn't the best, with frequent shootings and episodes with the police. Furthermore, random non minervans have been able to entered the res hall (not accompanied by anyone), and we have a construction site right next door + the res hall does not only house minervans.",No,0,NA,0,0,,,"Safety is super dependant on ethnicity, gender, and a host of other factors beyond just the crime rate, or building security.",No,Yes
2/16/2021 22:09:15,San Francisco,San Francisco: 16 Turk Street,0,1,0,Male,Black,San Francisco: 16 Turk Street,"I was not a victim of any crime while in SF. I sometimes walked to res late at night (once I walked through Tenderloin at around midnight) and was completely fine. I was always vigilant and would never have my phone out when walking in the area, and I never felt like I was in any kind of danger. I do recognise my privilege as a male too, since a non-male walking around late at night would've had a very different experience, and that probably played a large part in my feeling safe in general.",NA,,No,0,NA,0,0,,,,"I don't think there is more that I need to say but if some clarification is requested, I'd be happy to answer any questions.",Yes
2/16/2021 16:12:02,"San Francisco, Seoul, Hyderabad, Berlin","San Francisco: 1412 Market Street, Seoul: Yongsan residence, Hyderabad: At Home Apartments, Berlin: Adalbertstrasse and Meliorstrasse apartments",1,0,0,Female,Southeast Asian,Seoul: Yongsan residence,I've never seen strange random people walking around outside the res hall,San Francisco: 1412 Market Street,Only time in my life I was followed back by a random stranger screaming at me,No,0,NA,0,0,,,,Yes,Yes
2/17/2021 17:09:06,"San Francisco, Seoul, Hyderabad, Berlin, Buenos Aires","San Francisco: 1412 Market Street, Hyderabad: At Home Apartments, Berlin: Adalbertstrasse and Meliorstrasse apartments",0,0,0,Female,"White, East Asian",Hyderabad: At Home Apartments,"The At Home Apartments felt safe, as there was a security guard and a fence around the property and a check-in. During my time in the SF residence, I frequently heard violent screams outside my window, witnessed drug usage and fights, heard gunshots, and was harassed and followed on the streets. During my time in the Berlin residence, there were frequently homeless people who made it inside of the building and would stay in the hallway right outside my door, blocking entry/exit, and had a tendency to follow behind me as I walked around the residence area at night. It was terrifying.",San Francisco: 1412 Market Street,"The residence opened straight onto one of the busiest streets in San Francisco and there were frequently drug users, gangs, and generally scary and mentally deranged people right outside of the residence hall. I never felt safe walking alone and I felt like I was often being sized up for what was in my bags, etc. I used to use grocery bags to conceal my laptop and pretend that I was carrying groceries rather than a piece of expensive technology. I was frequently harassed and catcalled on the streets and sometimes followed.",No,0,NA,0,0,,,Safety at Minerva is a huge issue and compounds all of the other stressors we experience with our busy schedules. The fact that I hardly felt safe in both SF and Berlin significantly dampened my experience in these two cities.,Yes,Yes
2/18/2021 7:17:36,"San Francisco, Seoul, Hyderabad, Berlin, Buenos Aires","San Francisco: 1412 Market Street, Seoul: Yongsan residence, Hyderabad: At Home Apartments, Berlin: Adalbertstrasse and Meliorstrasse apartments, Buenos Aires: Le Petit Suites hotel apartments",1,0,0,Female,White,Seoul: Yongsan residence,"I think because of the surrounding areas primarily, but also because everything functioned perfectly inside, i knew there can be no intruders, it was not in hazard conditions.",San Francisco: 1412 Market Street,"It was the worst residence hall because it had rats, things were often broken, the halls were dark and there were other non-minervans living, it was dirty, shared communal bathrooms made me scared of having fungae AND i never felt safe going alone outside",No,0,NA,0,0,NA,,"There is also the psychological safety like feeling at home, and not trying to escape out of this place and SF residence WAS NOT safe. Hotels are also not great because other people are around all the time, because cleaners come in at any time, etc. Berlin residence on contrast was the most welcoming and stimulating my personal development place ever. ",Yes,Yes
